name_model,name_log,lr,dropout,maxpool,alpha,batch_size
model3.h5,log3.csv,0.0005,0,False,0.8,128
model4.h5,log4.csv,0.0005,0,False,0,128
model5.h5,log5.csv,0.0005,0,False,1,128
add metal,,,,,
model2.h5,log2.csv,0.001,0,False,0.8,128
model3.h5,log3.csv,0.001,0,False,0,128
model4.h5,log4.csv,0.001,0,False,1,128
model5.h5,log5.csv,0.001,0,False,0.8,128
model6.h5,log6.csv,0.001,0,False,0.8,128
model6.h5,log6.csv,0.001,0,False,0.8,128
model7.h5,log7.csv,0.001,0,False,0.8,128
model8.h5,log8.csv,0.001,0,False,0,128
model9.h5,log9.csv,0.001,0,False,1,128
ki_kd.h5,ki_kd.csv,0.001,0,False,0.8,128
80_cutoffs.h5,80_cutoffs.csv,0.001,0,False,0.8,128
kd.h5,kd.csv,0.001,0,False,0.8,128
ki.h5,ki.csv,0.001,0,False,0.8,128
ki.h5,ki.csv,0.001,0,False,0.8,128
kd.h5,kd.csv,0.001,0,False,0.8,128
80_cutoffs_Ki_Kd.h5,80_cutoffs_Ki_Kd.csv,0.001,0,False,0.8,128
